date,pm25,o3,no2,so2,co,aqi
2021-05-15, 72, 12, 6, 4,0,0
2021-05-16, 83, 12, 6, 4,0,0
2021-05-17, 63, 12, 6, 4,0,0
2021-05-18, 54, 9, 6, 4,0,0
2021-05-19, 73, 11, 6, 4,0,0
2021-05-20, 81, 11, 6, 4,0,0
2021-05-21, 82, 13, 6, 4,0,0
2021-05-22, 79, 16, 6, 4,0,0
2021-05-23, 68, 13, 7, 5,0,0
2021-05-24, 54, 6, 6, 4,0,0
2021-05-25, 64, 9, 6, 4,0,0
2021-05-26, 95, 10, 6, 4,0,0
2021-05-27, 60, 9, 6, 4,0,0
2021-05-28, 74, 9, 6,0,0,0
2021-05-29, 98, 12, 6, 4,0,0
2021-05-30, 90, 11, 6, 4,0,0
2021-05-31, 99, 9, 6, 4,0,0
2021-04-01, 107, 6, 6, 3,0,0
2021-04-02, 85, 6, 6, 3,0,0
2021-04-03, 86, 6, 6, 3,0,0
2021-04-04, 117, 3, 7, 4,0,0
2021-04-05, 122, 9, 6, 4,0,0
2021-04-06, 131, 7, 6, 3,0,0
2021-04-07, 101, 7, 6, 3,0,0
2021-04-08, 91, 3, 6, 4,0,0
2021-04-09, 95, 3, 6, 4,0,0
2021-04-10, 129, 5, 6, 4,0,0
2021-04-11, 123, 6, 6, 3,0,0
2021-04-12, 75, 7, 6, 3,0,0
2021-04-13, 70, 7, 6, 4,0,0
2021-04-14, 74, 8, 6, 3,0,0
2021-04-15, 69, 8, 6, 4,0,0
2021-04-16, 70, 7, 6, 3,0,0
2021-04-17, 76, 3, 6, 4,0,0
2021-04-18, 114, 6, 6, 4,0,0
2021-04-19, 83, 8, 6, 4,0,0
2021-04-20, 70, 9, 6, 3,0,0
2021-04-21, 73, 10, 6,0,0,0
2021-04-22, 71, 9, 6,0,0,0
2021-04-23, 70, 9, 6, 4,0,0
2021-04-24, 85, 10, 6, 4,0,0
2021-04-25, 72, 9, 6, 4,0,0
2021-04-26, 78, 3, 7, 5,0,0
2021-04-27, 103, 6, 6, 4,0,0
2021-04-28, 97, 15, 7, 4,0,0
2021-04-29, 77,0,0,0,0,0
2021-04-30, 113,0,0,0,0,0
2021-03-01, 122, 2, 6, 3,0,0
2021-03-02, 100, 2, 6, 3,0,0
2021-03-03, 153, 2, 6, 3,0,0
2021-03-04, 134, 2, 6, 3,0,0
2021-03-05, 105, 6, 6, 3,0,0
2021-03-06, 114, 5, 6, 3,0,0
2021-03-07, 120, 4, 6, 3,0,0
2021-03-08, 138, 3, 6, 3,0,0
2021-03-09, 78, 4, 6, 3,0,0
2021-03-10, 75, 4, 6, 3,0,0
2021-03-11, 86, 4, 6, 3,0,0
2021-03-12, 101, 3, 7, 3,0,0
2021-03-13, 119, 6, 7, 3,0,0
2021-03-14, 120, 6, 6, 3,0,0
2021-03-15, 95, 4, 6, 3,0,0
2021-03-16, 88, 3, 6, 3,0,0
2021-03-17, 96, 4, 6, 3,0,0
2021-03-18, 96, 3, 6, 3,0,0
2021-03-19, 83, 4, 6, 3,0,0
2021-03-20, 75, 6, 6, 3,0,0
2021-03-21, 73, 7, 6, 4,0,0
2021-03-22, 113, 9, 7, 4,0,0
2021-03-23, 159, 3, 8, 5,0,0
2021-03-24, 168, 4, 7, 3,0,0
2021-03-25, 166, 3, 6, 3,0,0
2021-03-26, 112, 3, 6, 3,0,0
2021-03-27, 75, 2, 6, 3,0,0
2021-03-28, 73, 4, 6, 3,0,0
2021-03-29, 133, 5, 7, 3,0,0
2021-03-30, 130, 5, 6, 3,0,0
2021-03-31, 117, 5, 6, 3,0,0
2021-02-01, 120, 2, 11, 4,0,0
2021-02-02, 112, 6, 14, 4,0,0
2021-02-03, 123, 5, 16, 4,0,0
2021-02-04, 121, 4, 16, 4,0,0
2021-02-05, 126, 7, 16, 4,0,0
2021-02-06, 137, 5, 15, 4,0,0
2021-02-07, 141, 7, 11, 4,0,0
2021-02-08, 139, 9, 8, 3,0,0
2021-02-09, 77, 10, 10, 4,0,0
2021-02-10, 134, 14, 9, 4,0,0
2021-02-11, 105, 12, 9, 3,0,0
2021-02-12, 105, 13, 9, 3,0,0
2021-02-13, 96, 11, 11, 4,0,0
2021-02-14, 116, 7, 10, 4,0,0
2021-02-15, 119, 6, 10, 4,0,0
2021-02-16, 120, 6, 9, 4,0,0
2021-02-17, 111, 6, 6, 5,0,0
2021-02-18, 138, 9, 5, 5,0,0
2021-02-19, 161, 13, 4, 5,0,0
2021-02-20, 150, 14, 4, 4,0,0
2021-02-21, 134, 7, 4, 4,0,0
2021-02-22, 114, 6, 3, 3,0,0
2021-02-23, 119, 8,0, 3,0,0
2021-02-24, 96, 4,0, 3,0,0
2021-02-25, 87, 3,0, 3,0,0
2021-02-26, 95, 2,0, 3,0,0
2021-02-27, 109,0,0, 3,0,0
2021-02-28, 130, 2, 2, 3,0,0
2021-01-04, 187, 4, 12, 3,0,0
2021-01-05, 232, 6, 6, 2,0,0
2021-01-06, 179, 2, 6, 2,0,0
2021-01-07, 160, 4, 3, 1,0,0
2021-01-08, 72, 4, 5, 1,0,0
2021-01-09, 111, 4, 6, 1,0,0
2021-01-10, 128, 6, 6, 2,0,0
2021-01-11, 133, 8, 9, 2,0,0
2021-01-12, 138, 6, 12, 5,0,0
2021-01-13, 173, 9, 14, 6,0,0
2021-01-14, 181, 1, 13, 3,0,0
2021-01-15, 203, 1, 11, 5,0,0
2021-01-16, 222, 4, 5, 2,0,0
2021-01-17, 170, 9, 8, 1,0,0
2021-01-18, 140, 6, 11, 3,0,0
2021-01-19, 168, 3, 12, 3,0,0
2021-01-20, 193, 1, 6, 2,0,0
2021-01-21, 229, 3,0, 2,0,0
2021-01-22, 199, 2,0, 2,0,0
2021-01-23, 206, 5,0, 2,0,0
2021-01-24, 188, 2, 11, 1,0,0
2021-01-25, 151, 3, 8, 1,0,0
2021-01-26, 121, 4, 10, 1,0,0
2021-01-27, 108, 1, 7, 1,0,0
2021-01-28, 116,0, 8, 3,0,0
2021-01-29, 163,0, 16, 2,0,0
2021-01-30, 182, 1, 10, 3,0,0
2021-01-31, 164, 1, 9, 5,0,0
2020-10-01, 61,0, 7, 2,0,0
2020-10-02, 88,0, 5, 3,0,0
2020-10-03, 86,0, 3, 3,0,0
2020-10-04, 75,0, 3, 2,0,0
2020-10-05, 69,0,0, 2,0,0
2020-10-06, 81,0,0, 3,0,0
2020-10-07, 58,0, 3, 3,0,0
2020-10-08, 72,0, 3, 3,0,0
2020-10-09, 70,0, 3, 3,0,0
2020-10-10, 90,0, 4, 3,0,0
2020-10-11, 96,0, 7, 4,0,0
2020-10-12, 123,0, 7, 3,0,0
2020-10-13, 129,0, 3, 3,0,0
2020-10-14, 67,0, 3, 3,0,0
2020-10-15, 39,0, 3, 3,0,0
